filename,true_category,true_color_hex
up_000_22598.jpg,shirt,
up_001_27213.jpg,shirt,
up_002_34052.jpg,shirt,
up_003_34260.jpg,shirt,
up_004_38492.jpg,shirt,
up_005_39316.jpg,shirt,
up_006_40924.jpg,shirt,
up_007_4329.jpg,shirt,
up_008_7558.jpg,shirt,
up_009_formalpant.jpg,pants,
up_010_pexels-d-ng-thanh-tu-2922122-5693889.jpg,shirt,
up_011_tobias-tullius-Fg15LdqpWrs-unsplash.jpg,shirt,
up_012_uploaded_beigewideleg.png,shirt,
up_013_uploaded_bottom.jpg,shirt,
up_014_uploaded_casualtop.jpg,shirt,
up_015_uploaded_kurti.png,kurta,
up_016_uploaded_longskirt.jpg,skirt,
up_017_uploaded_regularfit.jpg,shirt,
up_018_uploaded_sequinblouse.jpg,shirt,
up_019_uploaded_top.jpg,shirt,
up_020_uploaded_tshirt.jpg,shirt,
up_021_uploaded_waffletop.jpg,shirt,
up_022_uploaded_WhatsApp Image 2026-02-05 at 3.47.33 PM (1).jpeg,shirt,
up_023_uploaded_WhatsApp Image 2026-02-05 at 3.47.33 PM (11).jpeg,shirt,
up_024_WhatsApp Image 2026-02-05 at 3.47.33 PM (12).jpeg,shirt,
up_025_WhatsApp Image 2026-02-05 at 3.47.33 PM.jpeg,shirt,
